Название	x	y	h
301	66887,329	57585,513	138,3
302	66866,327	57534,352	138,3
303	66841,825	57484,27	138,3
304	66824,458	57427,373	138,3
305	66822,418	57384,361	138,3
306	66817,748	57327,161	138,3
307	66806,35	57283,023	138,3
308	66821,603	57225,047	138,3
309	66828,197	57169,939	138,3
310	66828,719	57114,654	138,3
311	66814,444	57095,651	138,3
312	66790,231	57094,421	138,3
313	66778,017	57245,397	138,3
314	66766,938	57362,641	138,3
315	66804,633	57426,846	138,3
316	66768,464	57513,596	138,3
317	66724,232	57595,756	138,3
318	66647,988	57625,351	138,3
319	66583,854	57723,867	138,3
320	66542,693	57780,475	138,3
321	66485,38	57864,018	138,3
322	66434,8	57946,555	138,3
323	66492,551	57988,446	138,3
324	66574,535	57992,574	138,3
325	66648,078	57980,791	138,3
326	66707,837	57960,684	138,3
327	66772,845	57958,008	138,3
D1 	67954,238	54101,808	143,7
D2 	67915,608	54110,627	143,6
MGS100 	66256,152	54739,803	145,7
MGS101 	66023,311	54751,192	145,5
MGS105 	65514,069	55690,554	144,9
MGS109 	64790,383	57201,626	145,4
MGS115 	65697,401	57987,69	144,7
MGS122 	66735,74	58254,133	145,5
MGS123 	67139,123	58138,833	145,7
MGS124 	67306,547	58006,649	145,0
MGS125 	67480,43	57865,398	145,3
MGS126 	67742,634	57649,31	145,4
MGS127 	67833,428	57578,123	145,2
MGS128 	68013,14	57498,789	145,7
MGS129 	68261,929	57301,565	145,0
MGS135 	68050,73	55881,265	145,1
MGS136 	68150,827	55492,74	145,4
MGS18 	67669,792	53955,331	145,7
MGS21 	68729,609	55296,002	145,3
MGS94 	67320,269	54147,61	145,4
MGS97 	66659,201	54594,042	145,7
MGS98 	66491,082	54686,419	145,8
MIS 	68417,111	53986,382	144,7
P1 	68031,11	57462,864	145,0
P10 	67722,107	57383,415	139,3
P100 	67968,073	55077,21	138,7
P101 	68237,823	55453,531	144,4
P102 	68028,097	55166,444	138,5
P103 	68167,443	55391,222	144,1
P104 	68114,113	55285,069	138,5
P105 	68246,792	55397,06	138,3
P106 	68365,155	55397,047	138,3
P107 	68502,135	55354,673	138,3
P108 	68037,7	55006,19	138,8
P109 	68330,587	55289,892	138,3
P11 	68129,473	57109,839	142,2
P110 	68112,644	54925,262	138,6
P111 	68466,559	55207,004	138,2
P112 	68153,287	54836,244	138,7
P113 	68476,084	55156,862	138,2
P114 	68206,788	54720,749	138,4
P115 	68522,654	55132,257	138,3
P116 	68525,873	55002,793	138,2
P117 	68277,64	54661,706	138,2
P118 	68514,24	54853,049	138,2
P119 	68168,363	54604,216	138,2
P12 	68139,898	57104,387	139,4
P120 	68451,235	54663,678	138,2
P121 	68056,772	54602,843	138,4
P122 	68353,378	54786,463	138,5
P123 	67919,959	54512,322	138,5
P124 	68249,747	54852,002	138,6
P125 	67861,524	54567,303	138,4
P126 	68272,434	54949,43	138,6
P127 	68309,891	55066,344	138,5
P128 	67916,328	54511,598	138,3
P129 	68213,438	55075,85	138,6
P13 	68189,933	57129,636	139,3
P130 	67981,881	54532,237	138,4
P131 	68064,448	55068,83	138,7
P132 	68007,281	54994,062	138,8
P133 	67962,624	54937,407	138,6
P134 	67891,439	54964,432	138,8
P135 	67866,01	54942,482	138,6
P136 	67821,522	54735,914	138,5
P137 	67884,219	54772,25	138,6
P138 	68005,652	54860,157	138,8
P139 	68003,774	57454,595	140,4
P14 	68201,796	57140,109	144,2
P140 	67596,783	57582,783	141,8
P141 	67593,532	57582,873	144,0
P142 	67957,925	57382,205	140,0
